object;relation;subject
face-centred unit cell;DESCRIBES;a unit cell with lattice points at the corners and the centers of each face of the cube, commonly found in cubic crystal systems like FCC (face-centred cubic).
factorization;DESCRIBES;the process of breaking down a mathematical object into a product of simpler objects, often used in algebra and number theory.
Fajans' rules;DESCRIBES;empirical rules predicting the degree of covalent character in ionic bonds based on cation charge, size, and polarizability of anions.
far infrared radiation;DESCRIBES;electromagnetic radiation with wavelengths from 15 to 1000 micrometers, lying between mid-infrared and microwave regions, often associated with thermal energy emission.
faraday's constant;DESCRIBES;the electric charge carried by one mole of electrons, approximately 96,485 coulombs per mole, used in electrochemistry to relate the amount of substance to the charge passed in an electrochemical reaction.
two laws stating that the amount of chemical change during electrolysis is proportional to the charge passed and that the masses of substances deposited or dissolved;IS_A;proportional to their equivalent weights.
faraday's laws of electrolysis;DESCRIBES;two laws stating that the amount of chemical change during electrolysis is proportional to the charge passed and that the masses of substances deposited or dissolved are proportional to their equivalent weights.
faraday's second law;DESCRIBES;states that the mass of a substance deposited or liberated during electrolysis is proportional to its chemical equivalent weight, which is the molar mass divided by the number of electrons transferred in the reaction.
Felix Bloch;DESCRIBES;a Swiss-American physicist who made significant contributions to the understanding of nuclear magnetic resonance (NMR) and quantum mechanics, co-developing the Bloch equations which describe the behavior of nuclear magnetization in a magnetic field. He was awarded the Nobel Prize in Physics in 1952.
fermi contact interaction;DESCRIBES;a magnetic interaction between an electron and an atomic nucleus due to the finite probability of the electron being at the nucleus, important in NMR and EPR spectroscopy.
fermi energy;DESCRIBES;the highest energy level occupied by electrons at absolute zero temperature, defining the boundary between filled and empty states in a solid.
fermi level;DESCRIBES;the energy level in a solid at which the probability of finding an electron is 50% at absolute zero temperature, crucial for understanding electronic properties of materials.
Fermi-Dirac distribution;DESCRIBES;a quantum statistical distribution describing the probability that a fermion occupies a given energy state at thermal equilibrium, given by f(E) = 1 / (exp((E - μ)/kT) + 1), where μ is the chemical potential.
fermion;DESCRIBES;a particle with half-integer spin that follows Fermi-Dirac statistics and obeys the Pauli exclusion principle, such as electrons, protons, and neutrons.
an organometallic compound with the formula fe(c5h5)2, consisting of an iron atom sandwiched between two cyclopentadienyl rings. it;IS_A;stable, orange crystalline solid and a prototypical metallocene.
